[ 2024-10-26 19:52:07,604 ] 18 root - INFO - Initiate the data ingestion
[ 2024-10-26 19:52:11,001 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-26 19:52:11,001 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-26 19:52:11,001 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-26 19:52:11,061 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-26 19:52:11,061 ] 20 root - INFO - Data Initiation Completed
[ 2024-10-26 19:52:11,078 ] 24 root - INFO - Initiate the data Validation
[ 2024-10-26 19:52:11,153 ] 32 root - INFO - Required number of columns:2
[ 2024-10-26 19:52:11,153 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-26 19:52:11,153 ] 32 root - INFO - Required number of columns:2
[ 2024-10-26 19:52:11,153 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-26 19:52:11,366 ] 26 root - INFO - data Validation Completed
[ 2024-10-26 19:52:11,366 ] 29 root - INFO - data Transformation started
[ 2024-10-26 19:52:11,379 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-26 19:52:11,379 ] 65 root - INFO - Starting data transformation
[ 2024-10-26 19:52:11,402 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-26 19:52:11,402 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-26 19:52:11,436 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-26 19:52:11,444 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-26 19:52:11,446 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-26 19:52:11,446 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-26 19:52:11,450 ] 33 root - INFO - data Transformation completed
[ 2024-10-26 19:52:11,450 ] 35 root - INFO - Model Training sstared
